Date,1 Day Price,1 Day Increase,Annual Price,Annual Increase,Prem. Annual Price,Prem. Annual Increase,Comments,Revenue
General admission price at opening of Magic Kingdom,Oct 1971,$3.50, 
$.25,Feb 1972,$3.75, 
$.75,$4.50,Apr 1973, 
$.75,Jun 1974,$5.25, 
$.75,$6.00,Dec 1975, 
No ticket prices raised in 1976,No Increase,$6.00,1976, 
No Increase,Jun 1977,$6.00, ,All tickets raised except General Admission
$.50,Jun 1978,$6.50, 
$.50,$7.00,Apr 1979, 
$.50,Mar 1980,$7.50, 
$.50,2nd price increase of the year,$8.00,Nov 1980, 
$9.50,$1.50,Oct 1981, ,General Admission replaced by One Day Ticket in 1981
Jun 1982,$13.25,$3.75, 
$100,$1.75, ,2nd increase of 1982. Annual Pass introduced.,Sep 1982,$15.00
 ,$2.00,Oct 1983,$125,$17.00,$25
 ,Feb 1984,No Increase,$125,Only minor gates (RC & DI) increased,$17.00
$18.00,$10, ,Jun 1984,$1.00,$135
$19.50,$140,Jun 1985, ,$5,$1.50
2nd increase of 1985,$140, ,$2.00,$21.50,No Increase,Nov 1985
$140, ,Mar 1986,$23.00,$1.50,No Increase
 ,$1.50,$24.50,Jun 1986,2nd increase of 1986,$15,$155
3rd increase of 1986, ,$1.50,No Increase,Dec 1986,$26.00,$155
$10, ,$2.00,$28.00,Dec 1987,*Add RC & DI to AP for $10 more,$165*
Only selected tickets were increased. *Add RC & DI to AP for $10 more, ,$28.00,No Increase,May 1988,$165*
 ,$29.00,$180*,$1.00,$15,May 1989,*Add RC & DI to AP for $10 more
$31.00, ,$2.00,No Increase,$180*,*Add RC & DI to AP for $10 more,Feb 1990
$189*,$33.00, ,$2.00,Feb 1991,$9,*Add RC & DI to AP for $10 more
$190*,$10,$34.00, ,Jun 1992,$1.00,*Add RC & DI to AP for $10 more
$199*, ,$35.00,May 1993,$1.00,$9,*Add RC & DI to AP for $10 more
$199*, ,$36.00,Mar 1994,No Increase,$1.00,*Add RC & DI to AP for $10 more
$6,$205, ,$36.00,No Increase,Nov 1994,$319,2nd increase of 1994. Premium Annual Pass introduced.
$205, ,Feb 1995,No Increase,$1.00,$319,$37.00
Dec 1995, ,$220,No Increase,$15,$319,$37.00
Feb 1996, ,$220,$1.50,No Increase,$38.50,$319
$10,$16, ,$236,No Increase,$38.50,Oct 1996,$329
 ,$30,$39.75,$33,$359,$1.25,Mar 1997,$269
 ,$30,$39.75,$19,$389,No Increase,$288,Sep 1997
 ,$42.00,$389,No Increase,$288,Apr 1998,$2.25
$10, ,$42.00,Sep 1998,$299,No Increase,$399
May 1999, ,$2.00,No Increase,$299,$44.00,$399
$16,$10,$309, ,Oct 1999,No Increase,$44.00,$415
Jan 2000, ,$2.00,$19,$46.00,$15,$324,$434
Jan 2001, ,$2.00,$35,$469,$48.00,$25,$349
$369,Sep 2002, ,$2.00,$489,$50.00,$20
$369, ,$2.00,$489,No Increase,$52.00,Jun 2003
Disney raised Ultimate Park Hopper Prices only,$369,No Increase,$489,$52.00,Feb 2004
$499,$10, ,$54.75,$379,$2.75,Mar 2004
Disney raised single day admission to water parks and DQ only,$499,$54.75,No Increase,$379,Oct 2004
Jan 2005,$16,$59.75,$515,Magic Your Way Base ticket (one day-one park) replaced One Day park tickets,$395,$5.00
$24, ,$3.25,Jan 2006,$20,$415,$63.00,$539
$67.00,Aug 2006,$4.00,2nd increase of 2006,$19,$20,$559,$434
Aug 2007, ,$4.00,$71.00,$14,$579,$20,$448
$75.00, ,$599,$4.00,Aug 2008,$469,$20,$21
$75.00,$599,Disney raised single day admission to water parks only,No Increase,$469,May 2009
 ,$4.00,$79.00,$619,$489,$20,Aug 2009
$629,$499,$10, ,$82.00,Aug 2010,$3.00
Jun 2011, ,$649,$519,$20,$85.00,$3.00
$89, ,$4,$50,$574,Jun 2012,$699,$55
"Disney offered 1 day tickets for Magic Kingdom at $95 adult and 1 day tickets for Epcot, Animal Kingdom or Hollywood Studios at $90 adult.",$30,$6 - $1,$35,Jun 2013,$729,$609,$95 - MK$90 - other theme parks
$99 - MK$94 - other theme parks, ,$4,$754,$634,$25,Feb 2014
$6 - $3,Florida Resident Annual Pass (both the regular and Premium) were raised by $44 each,$105 - MK$97 - other theme parks,$779,$659,Feb 2015,$25
$50,Disney increased annual passes only. Annual Pass became Platinum Pass while Premium Annual Pass became Platinum Plus Pass.,Oct 2015,No Increase,$90,$749,$829
Feb 2016,Disney goes to a tiered pricing model on one day tickets.,$124 Peak$110 Regular$105 Value,No Increase,$19 Peak$5 Regular$0 Value
 
Year:1991,"Revenue:2,794.0"
Year:1992,"Revenue:3,306"
"Revenue:3,440.7",Year:1993
"Revenue:3,463.6",Year:1994[65][66]
"Revenue:3,959.8",Year:1995[65][66]
"Revenue:4,142[Rev 3]",Year:1996[67]
Year:1997,"Revenue:5,014"
Year:1998,"Revenue:5,532"
Year:1999,"Revenue:6,106"
Year:2000,"Revenue:6,803"
Year:2001,"Revenue:6,009"
Year:2002,"Revenue:6,691"
"Revenue:6,412",Year:2003
Year:2004,"Revenue:7,750"
Year:2005,"Revenue:9,023"
Year:2006,"Revenue:9,925"
Year:2007,"Revenue:10,626"
Year:2008,"Revenue:11,504"
Year:2009,"Revenue:10,667"
Year:2010,"Revenue:10,761"
Year:2011,"Revenue:11,797"
"Revenue:12,920",Year:2012
Year:2013,"Revenue:14,087"
Year:2014,"Revenue:15,099"
